293T-ASPS-TFE3-1 293T-ASPS-TFE3-1_R1_001.fastq.gz 293T-ASPS-TFE3-1_R2_001.fastq.gz
293T-ASPS-TFE3-2 293T-ASPS-TFE3-2_R1_001.fastq.gz 293T-ASPS-TFE3-2_R2_001.fastq.gz
293T-ASPS-TFE3-3 293T-ASPS-TFE3-3_R1_001.fastq.gz 293T-ASPS-TFE3-3_R2_001.fastq.gz
293T-NONO-TFE3-1 293T-NONO-TFE3-1_R1_001.fastq.gz 293T-NONO-TFE3-1_R2_001.fastq.gz
293T-NONO-TFE3-2 293T-NONO-TFE3-2_R1_001.fastq.gz 293T-NONO-TFE3-2_R2_001.fastq.gz
293T-NONO-TFE3-3 293T-NONO-TFE3-3_R1_001.fastq.gz 293T-NONO-TFE3-3_R2_001.fastq.gz
293T-PRCC-TFE3-1 293T-PRCC-TFE3-1_R1_001.fastq.gz 293T-PRCC-TFE3-1_R2_001.fastq.gz
293T-PRCC-TFE3-2 293T-PRCC-TFE3-2_R1_001.fastq.gz 293T-PRCC-TFE3-2_R2_001.fastq.gz
293T-PRCC-TFE3-3 293T-PRCC-TFE3-3_R1_001.fastq.gz 293T-PRCC-TFE3-3_R2_001.fastq.gz
293T-SFPQ-TFE3-1 293T-SFPQ-TFE3-1_R1_001.fastq.gz 293T-SFPQ-TFE3-1_R2_001.fastq.gz
293T-SFPQ-TFE3-2 293T-SFPQ-TFE3-2_R1_001.fastq.gz 293T-SFPQ-TFE3-2_R2_001.fastq.gz
293T-SFPQ-TFE3-3 293T-SFPQ-TFE3-3_R1_001.fastq.gz 293T-SFPQ-TFE3-3_R2_001.fastq.gz
293T-TFE3-1 293T-TFE3-1_R1_001.fastq.gz 293T-TFE3-1_R2_001.fastq.gz
293T-TFE3-2 293T-TFE3-2_R1_001.fastq.gz 293T-TFE3-2_R2_001.fastq.gz
293T-TFE3-3 293T-TFE3-3_R1_001.fastq.gz 293T-TFE3-3_R2_001.fastq.gz
293T-Mock-1 293T-Mock-1_R1_001.fastq.gz 293T-Mock-1_R2_001.fastq.gz
293T-Mock-2 293T-Mock-2_R1_001.fastq.gz 293T-Mock-2_R2_001.fastq.gz
293T-Mock-3 293T-Mock-3_R1_001.fastq.gz 293T-Mock-3_R2_001.fastq.gz
